cloudflare,AS13335|AS14789|AS132892|AS133877|AS139242|AS202623|AS203898|AS209242|AS394536|AS395747|AS400095
facebook,AS32934|AS54115|AS63293
fastly,AS895|AS54113|AS394192
google,AS6432|AS13949|AS15169|AS16550|AS16591|AS19425|AS19448|AS19527|AS22577|AS22859|AS26684|AS26910|AS33715|AS36039|AS36040|AS36384|AS36385|AS36492|AS36987|AS394089|AS394507|AS394639|AS394699|AS395973|AS396982|AS40873|AS41264|AS43515|AS45566|AS55023|AS139070|AS139190
netflix,AS2906|AS40027|AS55095|AS394406
telegram,AS44907|AS59930|AS62014|AS62041|AS211157
twitter,AS8945|AS13414|AS35995|AS54888|AS63179
